Lektion;Hebräisch;Deutsch;Wortart;;
7;טראגי;tragisch;Adjektiv;;
7;די;genug! / Schluss!;Andere;;
7;יוֹמְיוֹם;täglich / Alltagsleben;Andere;;
7;כּוֹבַע טֶמְבֶּל;Tembel-Hut (israel. Wahrzeichen);Nomen;;
7;כל הַ...;all die... / das ganze...;Andere;;
7;מספיק;genug;Andere;;
7;עד;bis / zu;Andere;;
7;עולה חדש;Neu-Einwanderer/in (nach Israel);Nomen;;
7;שום דבר;nichts;Andere;;
7;שנות החמישים;die Fünfziger Jahre;Andere;;
7;שנות השישים;die Sechziger Jahre;Andere;;
7;ינואר;Januar;Andere;;
7;פברואר;Februar;Andere;;
7;מרס;März;Andere;;
7;אפריל;April;Andere;;
7;מאי;Mai;Andere;;
7;יוּנִי;Juni;Andere;;
7;יולי;Juli;Andere;;
7;אוגוסט;August;Andere;;
7;ספטמבר;September;Andere;;
7;אוקטובר;Oktober;Andere;;
7;נובמבר;November;Andere;;
7;דצמבר;Dezember;Andere;;
  יחידה / Einheit 8;;;;;
8;יורד;hinuntergehen / absteigen;Verb;;
8;בית קפה;Café;Nomen;;
8;גלויה;Postkarte;Nomen;;
8;דרך;Weg / Straße;Nomen;;
8;חולה;Kranker;Nomen;;
8;חורף;Winter;Nomen;;
8;חלון;Fenster;Nomen;;
8;חשבון;Rechnung / Konto;Nomen;;
8;מִדְבָּר;Wüste;Nomen;;
8;מלצר / מלצרית;Kellner/in;Nomen;;
8;מַעֲייָן;Quelle (Wasser);Nomen;;
8;נוף;Aussicht / Landschaft;Nomen;;
8;שפה;Sprache;Nomen;;
8;תרגיל;Übung;Nomen;;
8;תייר / תיירת;Tourist/in;Nomen;;
8;בּוּרֶקָס;Burekas (Blätterteiggebäck);Nomen;;
8;טרמפ;Trampen ;Nomen;;
8;מינרל;Mineralwasser;Nomen;;
8;פיצה;Pizza;Nomen;;
8;פסטה פֶּסְטוֹ;Pesto-Pasta;Nomen;;
8;חם;heiß / warm;Adjektiv;;
8;כחול;blau;Adjektiv;;
8;כשר;koscher;Adjektiv;;
